Rank, Algorithm                         , Native SB3?     , Tuning Burden                     , Why / Key Parameters
   1, Proximal Policy Optimization (PPO), Yes             , Very Low                          , "PPO’s clipped objective prevents catastrophic policy collapses. SB3's default parameters (lr=3e-4, clip_range=0.2, gae_lambda=0.95, n_steps=2048) work reliably across most Gymnasium benchmarks out of the box."
   2, Double DQN (DDQN)                 , Modded / Contrib, Moderate                          , "Decouples action selection from action evaluation, dampening the Q-value overestimation bias inherent to vanilla DQN. Still requires tuning the replay buffer size, target network update frequency, and exploration decay (ϵ)."
   3, DQN                               , Yes             , Moderate–High                     , "Off-policy nature makes it sensitive to exploration schedule (exploration_fraction, final_eps), replay buffer size, and batch size. Easily diverges or suffers from value explosion without proper tuning."
   4, A2C                               , Yes             , Moderate–High                     , "Lacks PPO's trust-region clipping. Highly sensitive to the learning rate, n_steps rollout length, and ent_coef (entropy weight) to prevent the policy from collapsing into a deterministic local optimum."
   5, Tabular Q-Learning                , No              , Low (Discrete) / High (Continuous), "Only 3 core hyperparameters (α,γ,ϵ-decay). However, for any Gymnasium environment with continuous state spaces (e.g., CartPole, Pendulum), performance depends almost entirely on hand-crafting state discretization bins."
   6, Tabular SARSA                     , No              , Low (Discrete) / High (Continuous), "Similar to tabular Q-learning, but on-policy. More conservative around penalties and sensitive to the exploration policy during training, plus state-binning sensitivity in continuous environments."
   7, TD(λ) with Traces                 , No              , Moderate–High                     , "Introduces the trace decay parameter λ∈[0,1] alongside the learning rate α. Requires careful joint balancing: λ=0 behaves like TD(0) (high bias), while λ=1 behaves like Monte Carlo (high variance)."
   8, REINFORCE (with baseline)         , No              , High                              , "Monte Carlo policy gradient with a value function baseline reduces variance, but updates remain noisy. Fragile to the optimizer learning rate, gradient clipping thresholds, and reward scaling."
   9, A3C                               , No              , High                              , "SB3 deliberately omits A3C in favor of synchronous A2C. Multi-threaded asynchronous updates introduce non-deterministic race conditions and gradient noise, requiring manual tuning of thread counts, worker step lengths, and asynchronous learning rates."
  10, REINFORCE (no baseline)           , No              , Very High                         , "Suffering from raw Monte Carlo trajectory variance, single-batch policy updates are chaotic. Highly sensitive to random seeds, environment horizon lengths, and learning rates."
  11, NN Q-Learning / SARSA (Naive)     , No              , Extreme (Instability Prone)       , "Standard neural networks paired with bootstrapped TD updates without experience replay or frozen target networks trigger the ""deadly triad."" Network weights diverge easily unless managed with surgical learning rate decay, tiny updates, and strict regularization."
