Emoji,Unicode Name,Description
🍔,Hamburger,bun with sesame seeds
🔬,Microscope,expert analysis
🍺,Beer Mug,glass of ale
😭,Loudly Crying Face,extremely sad and upset
🚪,Door,exit sign
🌈,Rainbow,symbol of peace
☀️,Sun,morning sunrise glow
📚,Books,piles of literature
🌡️,Thermometer,weather heat
👍,Thumbs Up,great work on that
🥗,Green Salad,healthy vegetable bowl
💰,Money Bag,dollar sign bag
🪒,Razor,grooming routine
☕,Hot Beverage,drinking hot coffee
😍,Smiling Face with Heart-Eyes,obsession and deep love
🖼️,Framed Picture,decorative item
🚲,Bicycle,mountain or road
🐶,Dog Face,cute puppy ears
✂️,Scissors,snipping with tool
💔,Broken Heart,loss and grief
💡,Light Bulb,electric glass bulb
🏮,Red Paper Lantern,traditional lamp
🏮,Red Paper Lantern,red light
🔌,Electric Plug,electric link
🔒,Locked,restricted access
📡,Satellite Antenna,wireless data
📑,Bookmark Tabs,categorizing info
🧪,Test Tube,chemistry experiment
✨,Sparkles,beautiful sparkling lights
☀️,Sun,beautiful daylight
🗺️,World Map,paper map
💰,Money Bag,wealth and prosperity
🔒,Locked,privacy is on
😊,Smiling Face with Smiling Eyes,friendly greeting for you
☕,Hot Beverage,caffeine boost
🍎,Red Apple,healthy eating habits
🎾,Tennis,hitting the ball
📱,Mobile Phone,digital communication
🔒,Locked,keeping things safe
🥪,Sandwich,food for picnic
🔔,Bell,notification sound
🥗,Green Salad,lettuce and spinach
😎,Smiling Face with Sunglasses,stylish and trendy
🔥,Fire,that outfit is lit
📱,Mobile Phone,social media tool
📸,Camera with Flash,visual arts work
🧼,Soap,bar of soap
🔬,Microscope,looking at cells
☀️,Sun,desert sun rays
💀,Skull,dead inside today
⚽,Soccer Ball,black white ball
🔔,Bell,calling the crowd
😎,Smiling Face with Sunglasses,wearing dark shades
😂,Face with Tears of Joy,so funny i can't breathe
🧭,Compass,guide for travel
🚪,Door,opening or closing
✨,Sparkles,something shiny and new
🌈,Rainbow,beautiful nature colors
😂,Face with Tears of Joy,dying of laughter
✏️,Pencil,office supply
🔋,Battery,green energy bar
🍷,Wine Glass,vineyard and grapes
🔋,Battery,battery cell
💻,Laptop,laptop screen open
😊,Smiling Face with Smiling Eyes,pleasant and cheerful mood
🧬,DNA,double helix
🧪,Test Tube,medical research
😍,Smiling Face with Heart-Eyes,looking at something beautiful
✏️,Pencil,sketching a draft
🍦,Soft Serve,ice cream cone
✨,Sparkles,prestige and high quality
🧬,DNA,hereditary traits
🧺,Basket,holding goods
🍰,Shortcake,bakery fresh cake
🤔,Thinking Face,confused but curious
⚽,Soccer Ball,sports equipment
🔌,Electric Plug,turning it on
🚲,Bicycle,wheels and gears
🧪,Test Tube,scientific testing
🙏,Folded Hands,asking for a blessing
📏,Straight Ruler,measurement scale
🔔,Bell,hearing the chime
🌍,Globe Showing Europe-Africa,spinning blue marble
👍,Thumbs Up,cool with me
🔨,Hammer,tool for home
🤣,Rolling on the Floor Laughing,can't stop the giggles
🐱,Cat Face,domestic cat head
🚂,Locomotive,freight and passengers
💰,Money Bag,bag of cash
🔑,Key,opening a lock
🧸,Teddy Bear,brown fur bear
🚿,Shower,daily routine
🎈,Balloon,child's birthday
🔭,Telescope,planet watching
🎈,Balloon,festive rubber toy
🏮,Red Paper Lantern,soft glow
🕰️,Mantelpiece Clock,hour and minute
💻,Laptop,software developer life
🏮,Red Paper Lantern,cultural symbol
📱,Mobile Phone,touch screen device
🔌,Electric Plug,wall socket
🍕,Pizza,favorite fast food
🧺,Basket,wicker material
✈️,Airplane,sky high travel
⚽,Soccer Ball,team athletic game
😂,Face with Tears of Joy,the comedy is gold
🔋,Battery,low battery life
📚,Books,student life
🌍,Globe Showing Europe-Africa,travel around world
📏,Straight Ruler,geometry class
🔭,Telescope,night sky lens
📈,Chart Increasing,making huge progress
😂,Face with Tears of Joy,uncontrollable laughing fit
