Emoji,Unicode Name,Description
🌡️,Thermometer,fever
☕,Hot Beverage,breakfast beverage
✈️,Airplane,airport
💡,Light Bulb,source bulb
💊,Pill,pill medical
😊,Smiling Face with Smiling Eyes,happy vibes
⚽,Soccer Ball,global popular sport
🔋,Battery,battery portable
🥪,Sandwich,cold sandwich
⌚,Watch,wear
🖼️,Framed Picture,framed art
😍,Smiling Face with Heart-Eyes,loving it
🔑,Key,metal key
📡,Satellite Antenna,dish
❄️,Snowflake,crystal
🏀,Basketball,jersey
🎾,Tennis,slam
🌡️,Thermometer,mercury or digital
🙏,Folded Hands,gratitude always
🔭,Telescope,lens telescope
💡,Light Bulb,symbol of creativity
📏,Straight Ruler,measuring length
❤️,Red Heart,love you forever
📑,Bookmark Tabs,reading
🕰️,Mantelpiece Clock,ticking clock
⌚,Watch,time is ticking
😴,Sleeping Face,snoring face
💡,Light Bulb,electric glass bulb
✈️,Airplane,jet plane
🗺️,World Map,borders
🖋️,Fountain Pen,metal nib
🚂,Locomotive,freight and passengers
☀️,Sun,star
🖋️,Fountain Pen,fountain
🐶,Dog Face,animal puppy
🍎,Red Apple,skin apple
🍔,Hamburger,patty burger
🤣,Rolling on the Floor Laughing,hurting from laughter
🔦,Flashlight,light in dark
💰,Money Bag,rich and wealthy
🍰,Shortcake,pastry
⚽,Soccer Ball,goals
🚀,Rocket,blast off
🎾,Tennis,grand
📸,Camera with Flash,lens camera
😂,Face with Tears of Joy,hysterical
🌍,Globe Showing Europe-Africa,planet
✨,Sparkles,shimmering in the sun
🍰,Shortcake,piece of pastry
💊,Pill,pharmacy item
✨,Sparkles,clean
📍,Round Pushpin,fixed mark
🔑,Key,key secret
💰,Money Bag,prosperity bag
🍷,Wine Glass,merlot wine
😂,Face with Tears of Joy,literally dead
😍,Smiling Face with Heart-Eyes,heart for you
📍,Round Pushpin,specific spot
💊,Pill,pill
🚲,Bicycle,riding
🔨,Hammer,construction work
🧼,Soap,hygiene product
⌚,Watch,seconds watch
🔬,Microscope,medical microscope
🧹,Broom,chore
🖼️,Framed Picture,art
🔦,Flashlight,search
🌡️,Thermometer,tube
🔑,Key,symbolic
🍺,Beer Mug,celebration
🍺,Beer Mug,drink
