Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A Timing Engine Inspired Graph Neural Network Model for Pre-Routing Slack Prediction","This research presents a timing engine inspired graph neural network (GNN) model for pre-routing timing prediction, improving accuracy and explainability compared to vanilla deep GNN models.","Zizheng Guo, Mingjie Liu, Jiaqi Gu, Shuhan Zhang, D. Pan, Yibo Lin",2022,150,"Fast and accurate pre-routing timing prediction is essential for timing-driven placement since repetitive routing and static timing analysis (STA) iterations are expensive and unacceptable. Prior work on timing prediction aims at estimating net delay and slew, lacking the ability to model global timing metrics. In this work, we present a timing engine inspired graph neural network (GNN) to predict arrival time and slack at timing endpoints. We further leverage edge delays as local auxiliary tasks to facilitate model training with increased model performance. Experimental results on real-world open-source designs demonstrate improved model accuracy and explainability when compared with vanilla deep GNN models.","theoretical, modeling, or simulation study","2022 59th ACM/IEEE Design Automation Conference (DAC)","","10.1145/3489517.3530597","https://consensus.app/papers/a-timing-engine-inspired-graph-neural-network-model-for-guo-liu/c947e7b2b0575e3abe3925b9fad7a22b/"
"EDA-Schema-V2: A Multimodal Schema, Open Datasets, and Benchmarks for Machine Learning in Digital Physical Design","EDA-Schema-V2 provides a structured framework for representing and analyzing datasets in digital physical design, supporting reproducible machine learning research and establishing standardized benchmarks for evaluating ML-based approaches.","Pratik Shrestha, Alec Aversa, Ioannis Savidis",2026,1,"The continuous scaling of CMOS technology has significantly increased the complexity of very large-scale integrated circuits, driving interest in applying machine learning (ML) to electronic design automation (EDA). However, the limited availability of open and standardized datasets limits interoperability, comparability, and reproducibility in ML-based research. This paper introduces EDA-Schema-V2, an open multimodal schema that provides a structured framework for representing and analyzing datasets in digital physical design. The schema includes representations of physical attributes and quality-of-results metrics across multiple stages of the design flow, including logic synthesis, floorplanning, placement, clock network synthesis, and routing. Utilizing the SkyWater 130nm, Nangate 45nm, IHP SG13G2 130nm, and ASAP 7nm open-source process design kits with the OpenROAD tool flow, datasets of physical circuit designs from the IWLS'05 benchmark suite are generated and analyzed. The dataset comprises 7,776 design instances spanning 18 benchmark circuits and includes stage-resolved representations from synthesis through detailed routing, generated through parameter sweeps over clock period, core utilization, and aspect ratio. The dataset contains over 275 million gates, 75 million nets, and more than 36 million extracted timing paths. In addition, twelve representative prediction tasks spanning timing, power, area, and routing metrics are identified, along with baseline analyses that characterize stage-to-stage predictability across the design flow. The resulting datasets and baselines are publicly released to support reproducible ML research and establish standardized benchmarks for evaluating ML-based approaches in digital physical design.","other","ArXiv","","10.48550/arxiv.2605.06952","https://consensus.app/papers/edaschemav2-a-multimodal-schema-open-datasets-and-shrestha-aversa/c1ba0c15c7865944b57e6f2afafdc662/"
"Focal Loss for Dense Object Detection","The Focal Loss, a reshaped cross entropy loss, improves the accuracy of one-stage object detectors by focusing on sparse hard examples and reducing easy negatives during training.","Tsung-Yi Lin, Priya Goyal, Ross B. Girshick, Kaiming He, Piotr Dollár",2017,3460,"The highest accuracy object detectors to date are based on a two-stage approach popularized by R-CNN, where a classifier is applied to a sparse set of candidate object locations. In contrast, one-stage detectors that are applied over a regular, dense sampling of possible object locations have the potential to be faster and simpler, but have trailed the accuracy of two-stage detectors thus far. In this paper, we investigate why this is the case. We discover that the extreme foreground-background class imbalance encountered during training of dense detectors is the central cause. We propose to address this class imbalance by reshaping the standard cross entropy loss such that it down-weights the loss assigned to well-classified examples. Our novel Focal Loss focuses training on a sparse set of hard examples and prevents the vast number of easy negatives from overwhelming the detector during training. To evaluate the effectiveness of our loss, we design and train a simple dense detector we call RetinaNet. Our results show that when trained with the focal loss, RetinaNet is able to match the speed of previous one-stage detectors while surpassing the accuracy of all existing state-of-the-art two-stage detectors. Code is at: https://github.com/facebookresearch/Detectron.","theoretical, modeling, or simulation study","IEEE Transactions on Pattern Analysis and Machine Intelligence","1","10.1109/tpami.2018.2858826","https://consensus.app/papers/focal-loss-for-dense-object-detection-lin-goyal/3c1acd62c14f5672ae3f4de44d980f96/"
"A Fast Anomaly Diagnosis Approach Based on Modified CNN and Multisensor Data Fusion","The modified 1D-GAPCNN-SVM algorithm effectively diagnoses anomalies using multisensor 1-D time-series measurements, outperforming conventional methods like SVM, K-NN, and traditional 2D-CNN.","Wenfeng Gong, Yuanzhe Wang, Meiling Zhang, Ehsan Mihankhah, Hui Chen, Danwei W. Wang",2022,59,"In this article, a modified convolutional neural network (CNN) algorithm, namely 1D-GAPCNN-SVM, is proposed to address the early anomaly diagnosis problem. Considering the fact that traditional 2D-CNN based approaches contain too many model parameters and are not suitable for fast diagnosis applications using multisensor 1-D time-series measurements, 1D-CNN is introduced to deal with this problem. To reduce the number of parameters, a 1-D global average pooling layer is designed to substitute the fully connected layer with two or three layers. In order to further improve the diagnosis accuracy, a nonlinear multiclass support vector machine (SVM) is adopted to replace the traditional Softmax classifier as the final discriminator. Raw multisensor 1-D time-series data are directly fed into the diagnosis model, then the diagnosis result can be automatically generated. Two experiments, which are rolling bearing and GPS anomaly detection, have been conducted to demonstrate the effectiveness and the superior performance of the proposed method compared to the conventional SVM, K-nearest neighbor, deep neural network (DNN), and traditional 2D-CNN.","theoretical, modeling, or simulation study","IEEE Transactions on Industrial Electronics","1","10.1109/tie.2021.3135520","https://consensus.app/papers/a-fast-anomaly-diagnosis-approach-based-on-modified-cnn-and-gong-wang/79cbbced69aa5e3db7e2e7be76d28f0d/"
"Pre-Routing Slack Prediction Based on Graph Attention Network","The Graph Attention Network (GAT)-based timing engine improves slack prediction accuracy and reduces runtime in large-scale, complex circuit problems compared to state-of-the-art methods.","Jinke Li, Jiahui Hu, Yue Wu, Xiaoyan Yang",2025,1,"Static Timing Analysis (STA) plays a crucial role in realizing timing convergence of integrated circuits. In recent years, there has been growing research on pre-routing timing prediction using Graph Neural Networks (GNNs). However, existing approaches struggle with scalability on large graphs and lack generalizability to new designs, limiting their applicability to large-scale, complex circuit problems. To address this issue, this paper proposes a timing engine based on Graph Attention Network (GAT) to predict the slack of timing endpoints. Firstly, our model computes net embeddings for each node prior to training using a gated self-attention module. Subsequently, inspired by the Nonlinear Delay Model (NLDM), the node embeddings are propagated through multiple levels by alternately applying net propagation layers and cell propagation layers. Evaluated on 21 real circuits, the framework achieved a 16.62% improvement in average R2 score for slack prediction and a 15.55% reduction in runtime compared to the state-of-the-art (SOTA) method.","theoretical, modeling, or simulation study","Automation","2","10.3390/automation6020020","https://consensus.app/papers/prerouting-slack-prediction-based-on-graph-attention-li-hu/d158f53e5424565b959b9efea16fac5a/"
"A Physical and Timing Aware Placement Optimization Framework Based on Graph Neural Network","The PTA-GNN framework significantly improves placement quality and reduces violating paths in physical design, leading to reduced wirelength and runtime compared to standard physical design flow.","Wenjie Ding, Zhanhua Zhang, Guoqing He, Peng Cao",2024,3,"Timing-driven placement is crucial in physical design flow with significant impact on later routability and ultimate manufacturability, which may deviate from finding the optimal solution and/or lead to unnecessary iterations, suffering from interleaved optimization steps and the corresponding inaccurate timing estimation. To solve this issue, we propose a P hysical and T iming A ware framework with G raph N eural N etwork, PTA-GNN, which provides the candidate gate sizing and buffer insertion solutions as well as the timing constraint for potential violated paths as guidance to improve placement quality significantly. Experimental results on the OpenCores benchmarks with 22 nm technology demonstrate that the proposed placement optimization framework achieves up to 89.09 % worst negative slack (WNS), 55.47 % total negative slack (TNS) improvement and 25.36 % reduction on the number of violating paths (#VP). Our framework benefits the later routing stage with 2.19 % wirelength decrease and 22 % runtime reduction compared to standard physical design flow.","theoretical, modeling, or simulation study","2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD)","","10.1145/3676536.3676772","https://consensus.app/papers/a-physical-and-timing-aware-placement-optimization-ding-zhang/de3f9f481f4c5a54b6e82c40213b8b3e/"
"INVITED: Toward an Open-Source Digital Flow: First Learnings from the OpenROAD Project","OpenROAD aims to democratize hardware design by reducing cost, expertise, schedule, and risk barriers, while addressing technical and cultural challenges in developing open-source EDA tools.","T. Ajayi, V. Chhabria, Mateus Fogaça, S. Hashemi, Abdelrahman Hosny, A. Kahng, Minsoo Kim, Jeongsup Lee, U. Mallappa, Marina Neseem, G. Pradipta, S. Reda, Mehdi Saligane, S. Sapatnekar, C. Sechen, M. Shalan, W. Swartz, Lutong Wang, Zhehong Wang, M. Woo, Bangqi Xu",2019,246,"We describe the planned Alpha release of OpenROAD, an open-source end-to-end silicon compiler. OpenROAD will help realize the goal of “democratization of hardware design”, by reducing cost, expertise, schedule and risk barriers that confront system designers today. The development of open-source, self-driving design tools is in and of itself a “moon shot” with numerous technical and cultural challenges. The open-source flow incorporates a compatible open-source set of tools that span logic synthesis, floorplanning, placement, clock tree synthesis, global routing and detailed routing. The flow also incorporates analysis and support tools for static timing analysis, parasitic extraction, power integrity analysis, and cloud deployment. We also note several observed challenges, or “lessons learned”, with respect to development of open-source EDA tools and flows.","other","2019 56th ACM/IEEE Design Automation Conference (DAC)","","10.1145/3316781.3326334","https://consensus.app/papers/invited-toward-an-opensource-digital-flow-first-learnings-ajayi-chhabria/a20dba7d3a975ec6a175802ae2e8750b/"
"The OpenROAD Project: Unleashing Hardware Innovation","The OpenROAD project enables hardware innovation by generating manufacturable layouts from hardware descriptions in 24 hours, reducing cost, expertise, and schedule barriers, and driving new machine learning research.","A. Kahng, Tom Spyrou",2021,50,"—The OpenROAD project develops an open-source RTL-to-GDS tool that generates manufacturable layout from a given hardware description – in 24 hours, with no human in the loop. The project is part of the IDEA program within the DARPA ERI. By reducing today’s cost, expertise and schedule barriers to hardware design, OpenROAD enables access to ASIC implementation, thus unleashing hardware innovation. This paper describes the status and outlook for OpenROAD as of its v1.0 release. The OpenROAD tool is integrated around an open-source, commercial-quality database and timing engine. A SkyWater 130nm tapeout was made by efabless.com in May 2020. DRC-clean layout generation in GLOBALFOUNDRIES 12nm was achieved in July 2020. OpenROAD’s futures include (i) serving as a foundation for academic research and teaching; (ii) seeding the transition of open-source EDA into government and commercial usage; and (iii) driving new machine learning research that further accelerates EDA and hardware innovation. With permissively open-sourced code, and no restrictions on sharing of scripts, OpenROAD enables transparency and reproducibility of hardware and EDA research, thus accelerating the pace of discovery.","other","","","","https://consensus.app/papers/the-openroad-project-unleashing-hardware-innovation-kahng-spyrou/b783ae487b6e5be49c891badb0869a98/"
"Adaptive Focal Loss for Keypoint-Based Deep Learning Detectors Addressing Class Imbalance","Adaptive Focal Loss (AFL) improves keypoint-based deep learning detectors' performance by addressing class imbalance and enhancing rare class accuracy.","Zhihao Su, A. Adam, Mohammad Faidzul Nasrudin",2025,17,"Keypoint-based deep learning detectors have proven highly effective in object detection tasks by predicting specific keypoints to determine object classification and location. Examples include CornerNet, CenterNet, ExtremeNet, RetinaNet, FCOS, and ObjectBox. Despite their strengths, these methods are particularly susceptible to class imbalance, which can result in poor detection performance for less frequent classes. Popular solutions such as hard sampling, soft sampling, and sampling-free methods have been proposed to tackle this issue. However, these approaches often have inherent limitations, including sensitivity to hyperparameters and neglecting the gradient dynamics of the loss function. To address these challenges, this paper proposes Adaptive Focal Loss (AFL), which combines the strengths of Focal Loss (FL) and Class-Balanced Loss (CBL) while introducing an Adaptive Gradient Function. This function is specifically designed to mitigate the impact of large gradients during the early stages of training. Extensive experiments demonstrate that AFL significantly outperforms classical sampling methods across key metrics on the MS COCO, LVIS, and PASCAL VOC datasets. Notably, on the LVIS dataset, AFL achieves an average improvement of over 3% $AP_{r}$ compared to the baseline Focal Loss across multiple keypoint-based detectors, showcasing its effectiveness in enhancing rare class accuracy. Furthermore, AFL delivers substantial improvements in the $AP_{0.5\sim 0.95}$ metric, surpassing the baseline Focal Loss by an average of over 2%, 1%, and 0.2% on the LVIS, MS COCO, and PASCAL VOC datasets, respectively. This highlights AFL’s capability to enhance the overall accuracy of foreground objects. By providing a more balanced and robust solution to class imbalance, AFL demonstrates superior performance in challenging scenarios, making it a valuable advancement in keypoint-based detection.","theoretical, modeling, or simulation study","IEEE Access","1","10.1109/access.2025.3538917","https://consensus.app/papers/adaptive-focal-loss-for-keypointbased-deep-learning-su-adam/03702df49ab25a5199ba8edb4d05b4fb/"
"Time-series anomaly detection with stacked Transformer representations and 1D convolutional network","The proposed time-series anomaly detection methodology using Transformers outperforms LSTM and CNN in learning dynamic patterns of sequential data through a self-attention mechanism.","Jina Kim, H. Kang, Pilsung Kang",2023,181,"","","Eng. Appl. Artif. Intell.","","10.1016/j.engappai.2023.105964","https://consensus.app/papers/timeseries-anomaly-detection-with-stacked-transformer-kim-kang/55472624249b5cea8b5fd692e05bddb7/"
